wals_code	name	family	features
maa	Maasai	Eastern Sudanic	consonant_inventories=3 Average|vowel_quality_inventories=3 Large (7-14)|consonant-vowel_ratio=2 Moderately low|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=3 Implosives only|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=2 Simple tone system|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|fusion_of_selected_inflectional_formatives=5 Tonal/concatenative|exponence_of_selected_inflectional_formatives=1 Monoexponential case|inflectional_synthesis_of_the_verb=4 6-7 categories per word|prefixing_vs._suffixing_in_inflectional_morphology=4 Equal prefixing and suffixing|coding_of_nominal_plurality=2 Plural suffix|definite_articles=5 No definite or indefinite article|indefinite_articles=5 No definite or indefinite article|position_of_case_affixes=9 No case affixes or adpositional clitics|numeral_classifiers=1 Absent|obligatory_possessive_inflection=2 Absent|possessive_classification=2 Two classes|noun_phrase_conjunction=2 'And' identical to 'with'|position_of_tense-aspect_affixes=4 Mixed type|order_of_subject,_object_and_verb=3 VSO|order_of_subject_and_verb=2 VS|order_of_object_and_verb=2 VO|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_degree_word_and_adjective=2 Adjective-Degree word|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|expression_of_pronominal_subjects=2 Subject affixes on verb|periphrastic_causative_constructions=2 Purposive but no sequential|nonperiphrastic_causative_constructions=2 Morphological but no compound|negative_morphemes=2 Negative particle|symmetric_and_asymmetric_standard_negation=3 Both|subtypes_of_asymmetric_standard_negation=1 A/Fin|polar_questions=1 Question particle|predicative_possession=5 'Have'|predicative_adjectives=1 Verbal encoding|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=1 Impossible|comparative_constructions=1 Locational|relativization_on_subjects=4 Gap|relativization_on_obliques=4 Gap|m-t_pronouns=1 No M-T pronouns|n-m_pronouns=1 No N-M pronouns|postverbal_negative_morphemes=4 None|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|verb-initial_with_clause-final_negative=4 No clause-final neg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=16 More than one position|verb-initial_with_preverbal_negative=7 Type 1 / Type 2|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=7 Type 1 / Type 3|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=6 None|the_position_of_negative_morphemes_in_verb-initial_languages=12 NegVSO/[Neg-V]SO|minor_morphological_means_of_signaling_negation=4 None|m_in_second_person_singular=1 No m in second person singular|m_in_first_person_singular=1 No m in first person singular|exponence_of_tense-aspect-mood_inflection=1 monoexponential TAM|number_of_possessive_nouns=1 None reported
mag	Magar	Sino-Tibetan	coding_of_nominal_plurality=2 Plural suffix|the_associative_plural=1 Associative same as additive plural|position_of_case_affixes=1 Case suffixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_numeral_and_noun=2 Noun-Numeral|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=4 Subordinating suffix|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|negative_morphemes=1 Negative affix|postverbal_negative_morphemes=2 [V-Neg]|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|sonegv_order=8 No SONegV|preverbal_negative_morphemes=2 [Neg-V]|order_of_negative_morpheme_and_verb=4 [V-Neg]|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=5 SO[Neg-V]|minor_morphological_means_of_signaling_negation=4 None
mam	Mam	Mayan	fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=6 Combined: Right-edge and unbounded|weight_factors_in_weight-sensitive_stress_systems=7 Combined|prefixing_vs._suffixing_in_inflectional_morphology=5 Weakly prefixing|reduplication=3 No productive reduplication|coding_of_nominal_plurality=8 Plural clitic|occurrence_of_nominal_plurality=4 All nouns, always optional|definite_articles=4 No definite, but indefinite article|indefinite_articles=2 Indefinite word same as 'one'|distance_contrasts_in_demonstratives=1 No distance contrast|pronominal_and_adnominal_demonstratives=2 Different stem|position_of_case_affixes=9 No case affixes or adpositional clitics|ordinal_numerals=6 First, two-th, three-th|position_of_pronominal_possessive_affixes=1 Possessive prefixes|nominal_and_verbal_conjunction=1 Identity|position_of_tense-aspect_affixes=1 Tense-aspect prefixes|the_morphological_imperative=1 Second singular and second plural|the_prohibitive=2 Normal imperative + special negative|imperative-hortative_systems=4 Neither type of system|the_optative=2 Inflectional optative absent|semantic_distinctions_of_evidentiality=2 Indirect only|coding_of_evidentiality=2 Verbal affix or clitic|order_of_subject,_object_and_verb=3 VSO|order_of_subject_and_verb=2 VS|order_of_object_and_verb=2 VO|order_of_object,_oblique,_and_verb=1 VOX|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=3 No dominant order|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=1 Noun-Relative clause|position_of_polar_question_particles=3 Second position|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|reciprocal_constructions=1 No reciprocals|antipassive_constructions=2 Oblique patient|negative_morphemes=2 Negative particle|symmetric_and_asymmetric_standard_negation=3 Both|subtypes_of_asymmetric_standard_negation=5 A/Fin and A/Cat|polar_questions=1 Question particle|predicative_adjectives=1 Verbal encoding|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=1 Impossible|'want'_complement_subjects=2 Subject is expressed overtly|postverbal_negative_morphemes=4 None|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|verb-initial_with_clause-final_negative=4 No clause-final neg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=9 NegVSO|verb-initial_with_preverbal_negative=1 Separate word, no double negation	Word&NoDoubleNeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=6 None|the_position_of_negative_morphemes_in_verb-initial_languages=1 NegVSO|minor_morphological_means_of_signaling_negation=4 None|productivity_of_the_antipassive_construction=1 productive
mbb	Mbabaram	Pama-Nyungan	consonant_inventories=3 Average|vowel_quality_inventories=1 Small (2-4)|consonant-vowel_ratio=5 High|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=1 No tones|fixed_stress_locations=2 Initial|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|the_morphological_imperative=4 Second person number-neutral|the_prohibitive=4 Special imperative + special negative|ditransitive_constructions:_the_verb_'give'=2 Double-object construction|hand_and_arm=2 Different|inclusive/exclusive_forms_in_pama-nyungan=1 No inclusive/exclusive opposition
mny	Margany	Pama-Nyungan	fixed_stress_locations=2 Initial|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=1 Trochaic|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|reduplication=1 Productive full and partial reduplication|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=1 No gender|systems_of_gender_assignment=1 No gender|coding_of_nominal_plurality=2 Plural suffix|plurality_in_independent_personal_pronouns=4 Person-number stem|position_of_case_affixes=1 Case suffixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|coding_of_evidentiality=1 No grammatical evidentials|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_genitive_and_noun=1 Genitive-Noun|position_of_polar_question_particles=1 Initial|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|expression_of_pronominal_subjects=1 Obligatory pronouns in subject position|nonperiphrastic_causative_constructions=2 Morphological but no compound|negative_morphemes=2 Negative particle|polar_questions=1 Question particle|hand_and_arm=2 Different|postverbal_negative_morphemes=4 None|negsov_order=1 NoDoubleNeg|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=5 NegSOV|sonegv_order=8 No SONegV|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=1 Beginning, not immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=1 NegSOV|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=1 No inclusive/exclusive opposition
mop	Mopan	Mayan	the_morphological_imperative=1 Second singular and second plural|imperative-hortative_systems=4 Neither type of system|the_optative=2 Inflectional optative absent|hand_and_arm=1 Identical|finger_and_hand=2 Different
mug	Mugil	Trans-New Guinea	position_of_pronominal_possessive_affixes=1 Possessive prefixes|position_of_tense-aspect_affixes=4 Mixed type|negative_morphemes=1 Negative affix|postverbal_negative_morphemes=4 None|preverbal_negative_morphemes=2 [Neg-V]|order_of_negative_morpheme_and_verb=3 [Neg-V]|minor_morphological_means_of_signaling_negation=4 None
myy	Mayi-Yapi	Pama-Nyungan	fixed_stress_locations=2 Initial|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=1 Trochaic
nan	Nandi	Eastern Sudanic	consonant_inventories=1 Small|vowel_quality_inventories=3 Large (7-14)|consonant-vowel_ratio=1 Low|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=2 Simple tone system|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|fusion_of_selected_inflectional_formatives=5 Tonal/concatenative|exponence_of_selected_inflectional_formatives=1 Monoexponential case|inflectional_synthesis_of_the_verb=3 4-5 categories per word|prefixing_vs._suffixing_in_inflectional_morphology=4 Equal prefixing and suffixing|reduplication=1 Productive full and partial reduplication|coding_of_nominal_plurality=2 Plural suffix|definite_articles=3 Definite affix|distance_contrasts_in_demonstratives=3 Three-way contrast|pronominal_and_adnominal_demonstratives=2 Different stem|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|person_marking_on_adpositions=2 No person marking|position_of_case_affixes=3 Case tone|comitatives_and_instrumentals=2 Differentiation|ordinal_numerals=6 First, two-th, three-th|position_of_pronominal_possessive_affixes=2 Possessive suffixes|obligatory_possessive_inflection=2 Absent|possessive_classification=1 No possessive classification|genitives,_adjectives_and_relative_clauses=4 Adjectives and relative clauses collapsed|adjectives_without_nouns=5 Marked by preceding word|position_of_tense-aspect_affixes=4 Mixed type|the_morphological_imperative=1 Second singular and second plural|imperative-hortative_systems=1 Maximal system|the_optative=2 Inflectional optative absent|order_of_subject,_object_and_verb=3 VSO|order_of_subject_and_verb=2 VS|order_of_object_and_verb=2 VO|order_of_object,_oblique,_and_verb=1 VOX|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=4 Demonstrative suffix|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|alignment_of_verbal_person_marking=2 Accusative|expression_of_pronominal_subjects=2 Subject affixes on verb|verbal_person_marking=5 Both the A and P arguments|third_person_zero_of_verbal_person_marking=5 Zero in all 3rd person forms|order_of_person_markers_on_the_verb=2 A precedes P|passive_constructions=2 Absent|negative_morphemes=1 Negative affix|polar_questions=1 Question particle|comparative_constructions=2 Exceed|relativization_on_subjects=4 Gap|utterance_complement_clauses=1 Balanced|postverbal_negative_morphemes=4 None|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|verb-initial_with_clause-final_negative=4 No clause-final neg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|verb-initial_with_preverbal_negative=2 Prefix, no double negation	Prefix&NoDoubleNeg|preverbal_negative_morphemes=2 [Neg-V]|order_of_negative_morpheme_and_verb=1 NegV|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=6 None|the_position_of_negative_morphemes_in_verb-initial_languages=1 NegVSO|minor_morphological_means_of_signaling_negation=4 None|exponence_of_tense-aspect-mood_inflection=1 monoexponential TAM|number_of_possessive_nouns=1 None reported
new	Newari (Kathmandu)	Sino-Tibetan	consonant_inventories=3 Average|vowel_quality_inventories=3 Large (7-14)|consonant-vowel_ratio=4 Moderately high|voicing_in_plosives_and_fricatives=4 In both plosives and fricatives|voicing_and_gaps_in_plosive_systems=2 None missing in /p t k b d g/|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=1 No tones|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|coding_of_nominal_plurality=8 Plural clitic|occurrence_of_nominal_plurality=6 All nouns, always obligatory|the_associative_plural=1 Associative same as additive plural|position_of_case_affixes=1 Case suffixes|numeral_classifiers=1 Absent|position_of_pronominal_possessive_affixes=4 No possessive affixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_optative=2 Inflectional optative absent|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=2 Relative clause-Noun|order_of_degree_word_and_adjective=1 Degree word-Adjective|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=2 Final subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=1 OV and RelN|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|negative_morphemes=1 Negative affix|polar_questions=1 Question particle|tea=1 Words derived from Sinitic cha|postverbal_negative_morphemes=4 None|prenominal_relative_clauses=1 Relative clause-Noun (RelN) dominant|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|sonegv_order=2 Prefix&NoDoubleNeg|preverbal_negative_morphemes=2 [Neg-V]|order_of_negative_morpheme_and_verb=3 [Neg-V]|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=5 SO[Neg-V]|minor_morphological_means_of_signaling_negation=4 None
ngw	Ngawun	Pama-Nyungan	prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|reduplication=1 Productive full and partial reduplication|position_of_case_affixes=1 Case suffixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=2 SVO|order_of_subject_and_verb=1 SV|order_of_object_and_verb=2 VO|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=6 Mixed|order_of_numeral_and_noun=2 Noun-Numeral|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|negative_morphemes=1 Negative affix|hand_and_arm=2 Different|postverbal_negative_morphemes=4 None|svnego_order=7 No SVNegO|position_of_negative_word_with_respect_to_subject,_object,_and_verb=2 SNegVO|snegvo_order=1 Word&NoDoubleNeg|svoneg_order=4 No SVONeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|the_position_of_negative_morphemes_in_svo_languages=1 NegSVO|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|negsvo_order=4 No NegSVO|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated
nnd	Nend	Trans-New Guinea	order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=3 No dominant order|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_degree_word_and_adjective=2 Adjective-Degree word|position_of_polar_question_particles=6 No question particle|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|expression_of_pronominal_subjects=2 Subject affixes on verb|polar_questions=6 Interrogative intonation only
nue	Nuer	Eastern Sudanic	prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|coding_of_nominal_plurality=3 Plural stem change|position_of_case_affixes=1 Case suffixes|position_of_pronominal_possessive_affixes=2 Possessive suffixes|noun_phrase_conjunction=2 'And' identical to 'with'|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=7 No dominant order|order_of_subject_and_verb=1 SV|order_of_object_and_verb=3 No dominant order|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|expression_of_pronominal_subjects=1 Obligatory pronouns in subject position|negative_morphemes=2 Negative particle|predicative_possession=5 'Have'|predicative_adjectives=1 Verbal encoding|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=1 Impossible|comparative_constructions=1 Locational|postverbal_negative_morphemes=4 None|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|sonegv_order=1 Word&NoDoubleNeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=1 Beginning, not immed preverbal|languages_with_two_dominant_orders_of_subject,_object,_and_verb=1 SOV or SVO|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=12 SVO/SOV but SNegOV|languages_with_different_word_order_in_negative_clauses=17 SVO/SOV, but SOVNeg|minor_morphological_means_of_signaling_negation=4 None
nwd	Newar (Dolakha)	Sino-Tibetan	prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|coding_of_nominal_plurality=2 Plural suffix|the_associative_plural=1 Associative same as additive plural|definite_articles=5 No definite or indefinite article|indefinite_articles=5 No definite or indefinite article|indefinite_pronouns=1 Interrogative-based|position_of_case_affixes=1 Case suffixes|comitatives_and_instrumentals=2 Differentiation|position_of_pronominal_possessive_affixes=1 Possessive prefixes|nominal_and_verbal_conjunction=1 Identity|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|semantic_distinctions_of_evidentiality=2 Indirect only|coding_of_evidentiality=2 Verbal affix or clitic|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=2 Relative clause-Noun|order_of_degree_word_and_adjective=1 Degree word-Adjective|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=2 Final subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=1 OV and RelN|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|expression_of_pronominal_subjects=2 Subject affixes on verb|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|negative_morphemes=1 Negative affix|negative_indefinite_pronouns_and_predicate_negation=1 Predicate negation also present|polar_questions=1 Question particle|postverbal_negative_morphemes=4 None|prenominal_relative_clauses=1 Relative clause-Noun (RelN) dominant|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|sonegv_order=2 Prefix&NoDoubleNeg|multiple_negative_constructions_in_sov_languages=7 SO[Neg-V]/SOVwithNegInfix|preverbal_negative_morphemes=2 [Neg-V]|order_of_negative_morpheme_and_verb=12 Type 3 / Negative Infix|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=20 SV&OV&[Neg-V]|minor_morphological_means_of_signaling_negation=4 None
nya	Nyawaygi	Pama-Nyungan	fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=1 Left-edge: First or second|weight_factors_in_weight-sensitive_stress_systems=2 Long vowel|rhythm_types=1 Trochaic|position_of_case_affixes=1 Case suffixes|comitatives_and_instrumentals=2 Differentiation|the_morphological_imperative=4 Second person number-neutral|the_prohibitive=2 Normal imperative + special negative|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|coding_of_evidentiality=1 No grammatical evidentials|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|expression_of_pronominal_subjects=5 Optional pronouns in subject position|hand_and_arm=2 Different|finger_and_hand=2 Different|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated
par	Päri	Eastern Sudanic	prefixing_vs._suffixing_in_inflectional_morphology=4 Equal prefixing and suffixing|coding_of_nominal_plurality=6 Mixed morphological plural|definite_articles=5 No definite or indefinite article|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|person_marking_on_adpositions=2 No person marking|position_of_case_affixes=9 No case affixes or adpositional clitics|position_of_pronominal_possessive_affixes=2 Possessive suffixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=2 Noun-Adjective|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_degree_word_and_adjective=3 No dominant order|position_of_polar_question_particles=6 No question particle|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=2 OV and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=2 OV and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|alignment_of_verbal_person_marking=3 Ergative|verbal_person_marking=5 Both the A and P arguments|third_person_zero_of_verbal_person_marking=2 No zero realization|order_of_person_markers_on_the_verb=3 P precedes A|passive_constructions=1 Present|antipassive_constructions=2 Oblique patient|applicative_constructions=1 Benefactive object; both bases|negative_morphemes=2 Negative particle|polar_questions=6 Interrogative intonation only|postverbal_negative_morphemes=4 None|the_position_of_negative_morphemes_in_object-initial_languages=1 ONegVS|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|minor_morphological_means_of_signaling_negation=4 None|other_roles_of_applied_objects=4 No other roles (= Only benefactive)
pkm	Pokomchí	Mayan	fixed_stress_locations=7 Ultimate|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=5 No rhythmic stress
